,Unnamed: 0,atom_counts,puckering
449,449,"{'Au': 2, 'I': 2}",Puckered
450,450,"{'Ru': 1, 'Pb': 2}",Puckered
451,451,"{'Sn': 2, 'Ru': 1}",Puckered
452,452,"{'Be': 2, 'Ag': 2}",Puckered
453,453,"{'Bi': 4, 'O': 8}",Puckered
454,454,"{'Au': 2, 'F': 2}",Puckered
455,455,"{'Ga': 2, 'Se': 3}",Planar
456,456,"{'B': 2, 'S': 2}",Puckered
457,457,"{'Np': 1, 'Br': 3}",Puckered
458,458,"{'Sr': 2, 'Co': 1}",Puckered
459,459,"{'Ni': 3, 'N': 6}",Puckered
460,460,"{'In': 3, 'Co': 1}",Puckered
461,461,"{'Pd': 2, 'C': 8}",Puckered
462,462,"{'Ga': 2, 'Bi': 6}",Puckered
463,463,"{'Tb': 2, 'Pb': 1}",Puckered
464,464,"{'Y': 1, 'F': 2}",Puckered
465,465,"{'C': 1, 'S': 1}",Puckered
466,466,"{'Tl': 2, 'N': 6}",Puckered
467,467,"{'Al': 1, 'As': 1}",Planar
468,468,"{'Ce': 1, 'C': 2}",Puckered
469,469,"{'Bi': 4, 'O': 6}",Puckered
470,470,"{'Hf': 2, 'Si': 4}",Puckered
471,471,"{'Ce': 1, 'Sn': 2}",Puckered
472,472,"{'W': 3, 'O': 8}",Puckered
473,473,"{'Tl': 3, 'Rh': 1}",Puckered
474,474,"{'Sr': 2, 'Ag': 2}",Puckered
475,475,"{'Al': 2, 'N': 6}",Puckered
476,476,"{'Ga': 3, 'Rh': 1}",Puckered
477,477,"{'Ca': 1, 'Sn': 2}",Puckered
478,478,"{'Sr': 2, 'Cd': 1}",Puckered
479,479,"{'Sn': 6, 'Bi': 6}",Puckered
480,480,"{'In': 3, 'Rh': 1}",Puckered
481,481,"{'Be': 2, 'Au': 2}",Puckered
482,482,"{'Al': 2, 'Bi': 6}",Puckered
483,483,"{'Cu': 1, 'S': 2}",Puckered
484,484,"{'Mg': 1, 'Si': 2}",Puckered
485,485,"{'Sc': 2, 'Sn': 1}",Puckered
486,486,"{'Ga': 4, 'I': 4}",Puckered
487,487,"{'In': 4, 'I': 4}",Puckered
488,488,"{'Mg': 2, 'Au': 2}",Puckered
489,489,"{'Np': 1, 'I': 3}",Puckered
490,490,"{'Ga': 1, 'Bi': 1}",Planar
491,491,"{'B': 1, 'Cl': 1}",Puckered
492,492,"{'C': 1, 'Se': 1}",Puckered
493,493,"{'Pr': 1, 'Sn': 5}",Puckered
494,494,"{'Ge': 4, 'Bi': 8}",Puckered
495,495,"{'Ga': 2, 'S': 5}",Puckered
496,496,"{'Th': 1, 'Br': 2}",Puckered
497,497,"{'Nb': 4, 'O': 10}",Puckered
498,498,"{'C': 2, 'S': 2}",Puckered
499,499,"{'Y': 2, 'Pb': 1}",Puckered
500,500,"{'B': 3, 'Rh': 1}",Puckered
501,501,"{'Sr': 1, 'Si': 2}",Puckered
502,502,"{'Sr': 1, 'Pb': 2}",Puckered
503,503,"{'Nb': 4, 'O': 10}",Puckered
504,504,"{'Be': 2, 'Co': 1}",Puckered
505,505,"{'Sr': 2, 'Zn': 1}",Puckered
506,506,"{'Pr': 1, 'C': 5}",Puckered
507,507,"{'Nd': 1, 'Pb': 2}",Puckered
508,508,"{'Tl': 1, 'P': 1}",Planar
